dataset,fraction_label,model,mode,n,inside_change_mean,inside_change_std,outside_change_mean,outside_change_std,leakage_ratio_mean,leakage_ratio_std,leakage_ratio_median,outside_p99_mean,outside_p99_std,outside_p999_mean,outside_p999_std
imagenetv2,50,llamagen,farthest,10000,0.3835651743895498,0.0828421093248638,0.07739571248935294,0.01930713645246921,0.20741052760836998,0.05402905962901,0.2061030934232718,0.4016898505348477,0.08792746347373165,0.6099192246796511,0.11143901842624772
imagenetv2,50,vqgan,closest,10000,0.07146155333713711,0.02335906924539531,0.0274972436704379,0.01139854663302089,0.3859379534303229,0.10192063279663138,0.38456762753414486,0.1744379459769737,0.07454493149330417,0.33439618903539853,0.12497385300555815
imagenetv2,50,vqgan,orthogonal,10000,0.24651614006286732,0.04317886320259557,0.06583873993200583,0.018752375006417285,0.2709237903765368,0.07500731145585819,0.2669336143705987,0.3638146740571771,0.09489973026673242,0.570820840644595,0.1232356361015258
imagenetv2,50,vqgan,random_uniform,10000,0.20853509631386632,0.051923937813209864,0.0733452961494092,0.021528904910992103,0.36725701686991485,0.11968153218618896,0.3531740612336597,0.34063678926483454,0.09645609269984372,0.5125500830852181,0.1343135527018828
imagenetv2,50,vqgan,farthest,10000,0.613342342887239,0.08391393673101351,0.13839860196992612,0.02812689932262814,0.22852260867479263,0.04931842271452429,0.2285902737813077,0.74443470319569,0.12043370714470393,0.8726723329219156,0.08553690790099756
imagenetv2,75,llamagen,closest,10000,0.06440060171337689,0.019898644917187406,0.026633581734282274,0.010981603070329343,0.4154828358765238,0.12168943745443551,0.4106156057021923,0.1509821848479192,0.06621482710748673,0.2786108429341732,0.11141918900827272
imagenetv2,75,llamagen,orthogonal,10000,0.24361686878686056,0.04964465065778758,0.09153386672331887,0.025009891149550868,0.38150295915063687,0.09414764859379726,0.3808790228195389,0.347894181928113,0.08639045841740116,0.5025057104267411,0.11363176344589143
imagenetv2,75,llamagen,random_uniform,10000,0.24124794194352925,0.05004973062021785,0.09002836805337762,0.024888196277818075,0.37917928084660535,0.09491254047343192,0.378211093602424,0.34822895290424666,0.08865269003728403,0.5071368259900333,0.11737261732277382
imagenetv2,75,llamagen,farthest,10000,0.41915190058330043,0.08742721269214897,0.12045099693290492,0.035019008440057696,0.29478147746592065,0.08560276947026119,0.2926022247489344,0.4778774217000975,0.11248561080436885,0.6532734713699034,0.1233388602212841
imagenetv2,75,vqgan,closest,10000,0.07282564755518586,0.022632961936767174,0.038494621953144396,0.016567819428825337,0.5250019415828047,0.1475745903680422,0.5227255544234879,0.2051705835491418,0.09425344446552493,0.3597420561531401,0.14587514829611242
imagenetv2,75,vqgan,orthogonal,10000,0.26161546644964645,0.04373810247305517,0.09630395452811007,0.028082503452473595,0.37385980528699336,0.10760080429862744,0.370665356918939,0.41712498378359514,0.10977306545475567,0.6050981895479419,0.1353385233765519
imagenetv2,75,vqgan,random_uniform,10000,0.22223609378236114,0.05612272708634979,0.10342113497886278,0.02912592464525434,0.4855427941852807,0.1466039588029575,0.4796694882390069,0.37214284723357105,0.10700562829175582,0.5269643185191767,0.14903106147566433
imagenetv2,75,vqgan,farthest,10000,0.6161377557558662,0.08640610830599772,0.21282654903398007,0.048187672595632024,0.35009929277537455,0.08253497319455698,0.3504332462265488,0.7793246651786565,0.11600537261422357,0.8738857214172385,0.08727859857911878
